,NRHR_areas,RHR_areas,NRLR_areas,RLR_areas,NRHR_GHG,RHR_GHG,NRLR_GHG,RLR_GHG
92,834170.0,196352.0,954567.0,214208.0,2.489288982,0.470958691,2.756793729,0.50186285
93,807097.0,327957.0,916463.0,201604.0,2.410313247,0.785793792,2.646747685,0.472090203
94,689147.0,337188.0,379704.0,186979.0,2.058892884,0.808348791,1.097380104,0.437742171
95,480624.0,315709.0,411488.0,99789.0,1.435090992,0.756444656,1.188783091,0.233695833
96,794610.0,358797.0,566693.0,160043.0,2.369925933,0.859043979,1.637027869,0.374655877
97,365904.0,210402.0,401841.0,136726.0,1.091200194,0.50456562,1.161001116,0.320427216
98,211154.0,363868.0,303896.0,350430.0,0.633452724,0.872393462,0.880287817,0.825001282
99,300977.0,304410.0,189917.0,359388.0,0.89757429,0.730742469,0.549360934,0.845961198
100,244503.0,227662.0,308586.0,478935.0,0.730021215,0.546433136,0.893595342,1.12742785
101,195666.0,184788.0,242018.0,465192.0,0.586059519,0.44379144,0.701027518,1.094158748
102,357325.0,245784.0,321548.0,439909.0,1.067360022,0.590397984,0.930901222,1.036109133
103,95844.0,338791.0,233844.0,360683.0,0.287841288,0.812194316,0.677334687,0.849364681
104,64806.0,388678.0,116314.0,299595.0,0.19441359,0.932308724,0.336756335,0.705077299
105,364470.0,423037.0,413278.0,241917.0,1.089556788,1.014612815,1.195388978,0.56958768
106,344962.0,313615.0,410908.0,383574.0,1.032696696,0.752613407,1.188594851,0.90206796
107,410368.0,383622.0,305961.0,277489.0,1.226720502,0.920181693,0.885080067,0.652784715
108,690742.0,322971.0,308033.0,308456.0,2.063407662,0.774941325,0.892657612,0.725893324
109,211236.0,318348.0,228168.0,348233.0,0.632992212,0.764177472,0.660277206,0.819160179
110,389596.0,354718.0,80298.0,300441.0,1.162335747,0.851105273,0.232707795,0.70627679
111,178820.0,356872.0,140495.0,329437.0,0.534929028,0.856487288,0.406731481,0.774178364
112,280740.0,474607.0,333840.0,216905.0,0.840941994,1.137393854,0.964724697,0.509157933
113,794186.0,411287.0,715989.0,236634.0,2.375466252,0.986344348,2.069820075,0.556163203
114,424002.0,313367.0,386949.0,317701.0,1.266313962,0.752204206,1.119018378,0.746308012
115,660330.0,292264.0,484432.0,327615.0,1.973161878,0.701094248,1.400936849,0.768689391
116,379936.0,364109.0,257320.0,281410.0,1.135551213,0.87371788,0.744973295,0.660881673
117,190176.0,409259.0,240832.0,219735.0,0.56910042,0.981674488,0.696736337,0.516689402
118,373169.0,356007.0,281407.0,272082.0,1.117013907,0.854570559,0.813787295,0.63959121
119,995778.0,399502.0,644207.0,230966.0,2.976144465,0.957646103,1.862779846,0.541875886
120,858940.0,404525.0,365387.0,185161.0,2.566512183,0.969903274,1.056397609,0.434231469
121,561969.0,386776.0,506234.0,250467.0,1.680590943,0.927565583,1.46278564,0.587931678
122,857324.0,260655.0,499682.0,318504.0,2.559321333,0.625723125,1.444115545,0.747552195
123,506600.0,415973.0,264149.0,226708.0,1.513672119,0.997671889,0.764386795,0.532310537
124,210448.0,394722.0,193913.0,238497.0,0.62909196,0.946677021,0.560784652,0.55908382
125,356840.0,426451.0,242793.0,191846.0,1.067554122,1.022557877,0.701925165,0.450194063
126,727291.0,383431.0,553426.0,221081.0,2.171113032,0.918856367,1.598800835,0.518039759
127,686240.0,380386.0,595916.0,122049.0,2.05159977,0.911970965,1.721504593,0.28614929
128,872739.0,375067.0,611265.0,183578.0,2.607280788,0.898999376,1.76656728,0.43037751
129,611908.0,506817.0,311331.0,132505.0,1.827722205,1.214845053,0.899874885,0.310160118
130,513297.0,442935.0,185224.0,147403.0,1.534647756,1.061771832,0.535355915,0.345977009
131,573154.0,390537.0,479807.0,196383.0,1.712129046,0.937077621,1.385952631,0.460922688
132,581700.0,442989.0,387903.0,167333.0,1.740371514,1.06088682,1.120565205,0.392382493
133,1155244.0,420516.0,623184.0,156261.0,3.44869605,1.008145407,1.801166901,0.366404482
134,841376.0,308801.0,605816.0,199147.0,2.515169586,0.740684191,1.751223943,0.466578404
135,882746.0,290202.0,618048.0,213402.0,2.637281247,0.696577299,1.785789696,0.499982541
136,791123.0,364839.0,229123.0,150666.0,2.360231208,0.874784511,0.662044529,0.353122884
137,648758.0,500986.0,376696.0,124604.0,1.937302644,1.200095231,1.088227412,0.292113789
138,392736.0,448323.0,319834.0,150710.0,1.174689549,1.074254568,0.923898989,0.353131305
139,362517.0,487293.0,427813.0,128358.0,1.086019716,1.168174905,1.236261731,0.300861561
140,962163.0,429078.0,596269.0,92694.0,2.876935539,1.028390088,1.72173236,0.21698407
141,805743.0,380354.0,498526.0,111243.0,2.409195213,0.911042683,1.439861939,0.260411598
142,825949.0,378906.0,408951.0,142228.0,2.466818127,0.90815802,1.181160891,0.333360456
143,582367.0,431868.0,866126.0,134215.0,1.738244574,1.034827695,2.501681503,0.314885117
144,639242.0,503648.0,647147.0,106057.0,1.911163341,1.20675643,1.868995891,0.248438521
145,360147.0,480085.0,628607.0,138418.0,1.07911449,1.150947422,1.815043732,0.324275689
146,344971.0,503560.0,328141.0,78687.0,1.032587436,1.206727457,0.947371451,0.184580299
147,626240.0,394343.0,270967.0,298214.0,1.874716818,0.946805398,0.784669268,0.701986884
148,388736.0,367539.0,147251.0,338249.0,1.162512117,0.881698305,0.426428356,0.796791145
149,524751.0,456668.0,206635.0,251042.0,1.56844791,1.095892051,0.598559222,0.590713319
150,174444.0,324840.0,195896.0,390262.0,0.521089617,0.780281649,0.567897091,0.919516445
151,257148.0,398963.0,89259.0,305114.0,0.770731389,0.957254746,0.25844559,0.718094244
152,146838.0,343470.0,147056.0,352005.0,0.441025251,0.824375619,0.425555209,0.829511966
153,145750.0,440367.0,111156.0,268402.0,0.435892794,1.055915751,0.322254417,0.631739954
154,393177.0,476515.0,265809.0,221615.0,1.175853096,1.14296645,0.769864617,0.521622069
155,669185.0,410451.0,233051.0,276266.0,1.999625826,0.985545504,0.675379936,0.649797458
156,726082.0,412599.0,136484.0,243144.0,2.170456953,0.990314544,0.395752924,0.57213635
157,170496.0,396733.0,138108.0,292872.0,0.507750585,0.95191031,0.399582606,0.688086897
158,437131.0,489377.0,292682.0,215605.0,1.309622037,1.1735287,0.84670732,0.506604557
159,552435.0,382387.0,177390.0,290441.0,1.65074904,0.917890463,0.513019302,0.6831097
160,644083.0,429917.0,176140.0,254127.0,1.926096153,1.030936558,0.509631401,0.597693709
161,542913.0,543720.0,179822.0,161064.0,1.625481837,1.302945951,0.520218892,0.378343796
162,752467.0,362919.0,487749.0,313047.0,2.251375668,0.871078365,1.412314224,0.735513653
163,787408.0,432556.0,188606.0,258041.0,2.35766457,1.037738828,0.546455458,0.607009932
164,327819.0,467196.0,245170.0,221550.0,0.981554325,1.120917129,0.710096447,0.521417779
165,663270.0,396154.0,180295.0,271101.0,1.980848424,0.94976579,0.521721092,0.637141396
166,326631.0,469388.0,63962.0,238670.0,0.978802383,1.125655459,0.185098984,0.561012992
167,243050.0,405391.0,125845.0,270638.0,0.727640292,0.972828065,0.364494119,0.636306515
168,1127805.0,445896.0,365721.0,239949.0,3.371258478,1.070073105,1.057918392,0.562727563
169,801940.0,535849.0,264798.0,143005.0,2.398259649,1.284503864,0.765745569,0.335965236
170,1080189.0,480298.0,203458.0,179012.0,3.232206744,1.15218572,0.588345137,0.420363725
171,780923.0,499344.0,212861.0,185015.0,2.338011831,1.197672537,0.615640063,0.434215546
172,357820.0,459391.0,54225.0,132002.0,1.071312891,1.102277156,0.157168971,0.309666259
173,239189.0,506865.0,139344.0,195485.0,0.715926759,1.215207147,0.402969423,0.458856474
174,212482.0,520322.0,163453.0,156517.0,0.635845545,1.247721259,0.472660472,0.367487491
175,2210561.0,460835.0,445748.0,148386.0,6.604776291,1.10551315,1.289488087,0.347998447
176,2300731.0,483017.0,408811.0,136473.0,6.870997758,1.15881748,1.181433746,0.32002242
177,1221167.0,448037.0,178023.0,151024.0,3.649019823,1.07496049,0.515022114,0.354652672
178,1222991.0,522040.0,185324.0,146466.0,3.661982982,1.250188595,0.535647793,0.343377157
