Model_ID,Density_Factor,Height,Number_People,Land_Area_km2,WLC_MtCO2,Plot_Area_m2,Street_Area_m2,Green_Area_m2,NDLR_WLC,NDHR_WLC,DLR_WLC,DHR_WLC,HOUSE_WLC,NDLR_Total,NDHR_Total,DLR_Total,DHR_Total,HOUSE_Total
58,32.73,21.47,19954,0.624105,3.9034914214,379495,235001.5,9608.5,1.126246014,1.104125667,1.033384969,0.524349341,0.115335502,78,10,186,17,16,
59,34.48,21.67,19972,0.548875,3.474118405,359554.75,168402.75,20917.500000000004,0.862434604,0.937313625,1.018302456,0.50731924,0.14870457,55,7,187,21,23,
60,33.050000000000004,20.34,19961,0.480462,2.48038745096,295700.25000000006,152903.74999999997,31857.999999999978,0.732837323,0.074563416,1.082979192,0.500800699,0.089168384,48,1,186,17,13,
61,32.35,19.80,19958,0.700826,3.58016342608,414009,225360,61457,1.302607287,0.611150997,1.242469133,0.242489509,0.181390434,79,7,226,11,24,
62,29.84,22.48,20014,0.450495,2.4349639426,252945.5,118196.25,79353.25,0.549116284,0.201185241,0.822079516,0.785315254,0.077231608,38,2,132,24,13,
63,30.959999999999997,19.25,19950,0.542862,2.25177705196,318577.00000000006,139450.74999999988,84834.25000000004,0.499477223,0.082769334,1.138528573,0.383431001,0.147527492,37,1,225,16,20,
64,28.92,20.27,19952,0.564846,2.39809270168,306840.00000000006,142696.9999999999,115309.00000000003,0.640893991,0.08378328,0.969105245,0.524085306,0.180179692,48,1,180,19,25,
65,35.36,22.04,20015,0.831369,5.733644211520001,538590.5000000001,276849.9999999999,15928.499999999998,1.991908159,2.066557689,1.085699402,0.388359228,0.201053224,119,20,174,17,29,
66,37.19,24.45,19953,0.536137,3.95360227296,364485.25,150012.49999999997,21639.25000000002,1.105073545,1.171080309,0.798920202,0.680685546,0.19779978,63,12,118,22,25,
67,33.17,20.85,19974,0.652632,3.5554434755599997,387153.25,226562,38916.75,0.877567458,1.002204402,0.873963348,0.507166997,0.29448906,55,8,144,18,36,
68,34.22,21.72,19954,0.666542,4.0183321243600005,417789,173162.75,75590.25,1.186962308,1.15688943,0.889585868,0.539798509,0.245042686,73,13,154,22,30,
69,31.16,20.18,19950,0.726412,3.54616375796,416133.75,209360,100918.25,1.287094151,0.589564728,1.122578859,0.365635337,0.18123257,73,7,195,16,26,
70,27.74,23.60,19995,0.602662,3.55808253296,319543,178788.5,104330.5,0.609477103,1.27194084,1.022245737,0.550300058,0.104070582,36,11,146,18,15,
71,27.029999999999998,21.52,19956,0.662881,2.83981621548,335745.75,227102.25,100033,0.993465837,0.171834795,0.957845627,0.566180768,0.150436158,57,3,163,23,17,
72,35.33,22.37,19953,0.752943,5.00785755844,474109,272035.5,6798.5,1.586413661,1.747555923,0.850402988,0.508178235,0.315246516,82,16,129,20,40,
73,34.29,21.42,19962,0.946416,6.17954922428,577862.5,312504.25,56049.24999999998,2.373829376,2.14056618,1.244641048,0.181802163,0.238634744,113,22,176,7,36,
74,33.589999999999996,23.93,19954,0.773757,5.52225262656,472109.75,253626.25,48021,1.482269137,2.361628749,0.750994069,0.692441761,0.23485701,87,20,110,23,33,
75,31.430000000000003,22.04,19951,0.681085,3.9721648578,400189.5,196622.49999999994,84273.00000000007,1.252986282,1.04650788,1.018013597,0.509242066,0.145360546,67,10,152,17,22,
76,30.45,25.66,19952,0.622847,4.05986291876,354548,157146.25,111152.75,0.923180964,1.454567712,0.644293429,0.851995716,0.18577527,37,17,88,25,25,
77,27.74,24.07,19951,0.67527,3.3069877655999997,327889.75000000006,237540.99999999988,109839.25000000006,0.672262698,0.951923172,0.502167311,0.839708985,0.340871578,36,10,77,26,39,
78,30.520000000000003,21.55,20038,0.648427,3.15954949516,366366.5,145030.25,137030.25,0.669216955,0.80828754,0.823499314,0.55228633,0.306207482,38,9,118,20,42,
79,36.57,26.70,19950,0.726852,5.98053540216,471458.5,209509.75,45883.75,1.637320191,2.660711016,0.575364243,0.86010248,0.246979324,81,24,63,30,29,
80,30.72,24.17,19963,0.892604,5.626612318319999,493372.5,345071,54160.5,1.96393077,1.980121752,0.619505418,0.818125268,0.244857702,101,20,82,22,35,
81,30.330000000000002,21.91,20036,1.00015,5.493267101,556232.5,338528.5,105389,1.789918746,2.025019608,0.897937026,0.402570243,0.377741466,90,22,117,15,53,
82,31.44,24.43,19952,0.689649,4.3610113229200005,404183.75,206773.25,78692,1.170608132,1.510916556,0.707285343,0.756174376,0.215971744,63,13,88,25,22,
83,28.549999999999997,23.80,19955,0.980896,5.10222099868,495541,333722.25,151632.75,1.31128515,2.108473068,0.405165554,0.763821815,0.51339694,57,21,64,22,65,
84,27.85,22.81,19952,0.946973,5.00965209484,480183.25,286338.25,180451.50000000003,1.773123971,1.560008775,0.80833185,0.620583419,0.247528322,88,15,96,22,42,
85,29.26,24.51,19992,0.689734,4.1610157577199995,360347.5,179044.75000000003,150341.74999999997,0.915080044,1.560898443,0.589554358,0.818198278,0.277229456,40,12,76,26,34,
86,37.66,25.34,20046,0.865648,6.95906030184,586385.7500000001,221045.4999999999,58216.74999999997,2.253225358,3.018607992,0.612363709,0.704477109,0.370316882,94,25,61,24,51,
87,33.19,22.11,19998,0.990603,5.61259575024,585256.5,316409,88937.5,2.056682682,1.875736116,0.666299481,0.554453631,0.459344592,88,21,82,19,61,
88,31.85,27.38,19954,0.701802,5.31228791316,408138.5,202841.75,90821.75,1.181475411,2.448249042,0.645464844,0.876020766,0.161021706,53,22,72,26,19,
89,33.040000000000006,23.19,19963,0.92839,5.235524875199999,546244,279677.25,102468.75,1.73155497,1.822340064,0.489754782,0.701548304,0.490252484,76,21,60,25,62,
90,30.34,24.71,19955,0.991822,6.07208659876,529765.5,307275,154781.5,2.004533825,2.391164388,0.695493516,0.595645938,0.385169586,83,21,69,16,45,
91,31.009999999999998,23.84,20023,0.89905,5.509322686,505787.25,236220.24999999997,157042.50000000003,1.624782042,2.20197984,0.702893106,0.608897676,0.370698098,65,18,79,19,40,
92,31.1,25.48,19952,0.696101,4.00638963108,380023.75000000006,149327.25,166749.99999999994,0.652106646,1.671775236,0.445038998,0.810247477,0.427165586,31,16,55,23,48,
93,36.34,27.40,19953,0.777377,6.32493296116,510637.75,222661.25,44078,2.371738737,2.266956549,0.506934415,1.012469486,0.166771584,91,25,50,31,22,
94,37.5,23.04,20002,1.03929,7.1530901691999995,666833,317018.5,55438.5,3.052690612,2.422553346,0.647768237,0.444215105,0.585779726,111,24,68,14,65,
95,31.75,26.25,19977,0.67969,4.7699052722,385998.75,198417.75,95273.5,1.064040664,2.016895086,0.449540967,1.023376606,0.215997574,48,17,54,24,23,
96,31.5,22.94,19973,0.986975,5.337713997,548331.75,318979.25,119664.00000000001,1.710451613,1.949353809,0.614423608,0.539291517,0.524114492,68,21,68,19,64,
97,33.14,22.71,19954,0.956481,5.44210347548,556645.5,274946,124889.5,1.535293462,2.229941292,0.561772754,0.537922407,0.577097042,65,18,61,16,70,
98,30.349999999999998,25.05,19956,0.819026,4.80253037908,431927.75,203286.25,183812,1.227978781,1.890992577,0.445699745,0.837995292,0.399798462,48,15,45,19,44,
99,27.99,24.29,19953,0.827475,4.01469385,414042.25,252303.75,161129,1.407647007,0.922185474,0.38971526,0.896630507,0.398449404,59,10,41,26,46,
100,29.94,24.16,19969,1.295939,7.64813631912,676550.25,484381.49999999994,135007.25000000006,3.314294463,2.649193041,0.477505619,0.830274967,0.376764554,119,25,59,26,48,
101,29.520000000000003,21.09,20050,1.42272,6.8666639376,728041,417078.75000000006,277600.24999999994,2.735504049,2.447035806,0.49415037,0.465705249,0.724154646,101,21,52,16,93,
102,27.85,24.25,19989,1.226823,6.67887448984,607611.25,385222.7499999999,233989.00000000012,2.625927661,2.367714999,0.465232875,0.777799803,0.442101006,91,23,49,22,57,
103,29.09,26.41,19969,0.844278,4.79347933524,448211,276182.5,119884.5,1.088080512,2.021595372,0.431295091,0.799730528,0.45271029,45,19,41,26,49,
104,29.82,22.27,19960,0.952183,4.27292331564,503279,277399,171505,1.179067555,1.410019512,0.230343929,0.748719311,0.704696834,46,14,27,21,72,
105,29.880000000000003,25.23,19984,0.953185,5.641366998800001,491368.5,294966.75,166849.75,1.623898093,2.331112389,0.369148005,0.850817641,0.466314616,62,21,35,19,51,
106,26.96,20.43,19967,1.092292,3.90326664036,520797,292103,279392,1.151276076,1.073359938,0.31540012,0.499027125,0.864115998,40,9,34,17,97,
107,34.21,26.74,20040,0.402885,3.1786424258,267833,128771.5,6280.5,0.870848905,0.61953678,0.80859615,0.862915526,0.016712834,55,9,134,26,3,
108,34.03,25.65,19952,0.426729,3.1049922383200004,265945.25,148728,12055.75,0.54419479,0.882845226,0.829178346,0.72198598,0.126753758,30,7,135,28,16,
109,32.73,24.20,19974,0.464118,3.27563414944,289515.25,130523.75,44079,0.884379702,0.717113943,1.104991054,0.539910345,0.029201976,57,5,185,19,4,
110,30.45,24.02,19953,0.533973,2.93797617284,303228.75,146614.25,84130,0.69349891,0.574043823,1.07313502,0.43830266,0.158953042,43,7,161,19,24,
111,30.39,24.07,19952,0.571425,3.643784467,324267.5,164715.75,82441.75,0.921418966,1.048205334,1.015163533,0.583015886,0.075935034,54,10,184,27,10,
112,28.060000000000002,25.19,19957,0.446985,2.6314159308000002,243502.5,113713,89769.5,0.670149951,0.281185632,0.832228733,0.80344472,0.044371136,43,4,144,24,7,
113,27.560000000000002,26.15,19973,0.388433,2.2081419206399997,209019.5,77346.75,102066.75,0.333336407,0.190166382,0.691282539,0.921774634,0.071550884,21,3,116,30,9,
114,34.21,26.72,19959,0.50887,3.9397988425999997,323961.00000000006,171218.49999999994,13690.5,1.184307026,1.069089852,0.55822074,1.003331353,0.124809162,61,10,96,34,17,
115,32.25,25.88,19952,0.547766,3.8676516062800004,332583.5,182204.25,32978.25,1.177608443,1.011962304,0.884979664,0.74386131,0.049196064,63,11,135,29,6,
116,35.870000000000005,27.74,19954,0.440046,3.7635476186799997,295140.5,107988,36917.5,0.876708555,1.203640998,0.640278535,0.909835727,0.1330486,45,10,102,31,16,
117,32.6,26.73,19974,0.603507,4.59055723056,370326.5,161176.5,72004,0.882795916,2.026147278,0.711682464,0.76594596,0.203937332,61,18,115,26,28,
